Components,Quantity,Total Price,Buy Link
"ESP32-C3	",1,2.90,"https://robu.in/product/esp32-c3-development-board-with-soldering"
"8Ω 5W Stereo Speaker - Set of 2",1,4.84,"https://hubtronics.in/8ohm-5w-speaker?search=speaker"
"INMP441 MEMS Microphone Module I2S",1,2.13,"https://robu.in/product/inmp441-mems-high-precision-omnidirectional-microphone-module-i2s"
"5V 3A Power Supply",1,2.53,"https://robu.in/product/power-supply-adapter-charger-5v-3a-type-c-plug/?gad_campaignid=17427802559"
"Bluetooth audio power amplifier",1,2.36,"https://robu.in/product/5w5w-bluetooth-audio-power-amplifier-green-board"
"5V WS212B Addressable RGB LEDs",1,2.13,"https://hubtronics.in/neopixel-ws2811-led-strip-india"
"Ribbon Cable 1M",1,0.77,"https://robu.in/product/multicolor-flat-ribbon-cable-20-wire-per-1-meter/"
"Type-C Breakout Board",1,0.21,"https.com/makerbazar.in/products/type-c-usb-female-to-dip-pcb-breakout-board?variant=48251095908592"
"Heat Shrink Sleeve Tube 1M",1,0.19,"https://makerbazar.in/products/heat-shrink-tube-transparent?variant=40178073632919"
"Base print (ABS 3mm)",1,6.42,"https://robu.in/product/online-laser-cutting-service"
"Front Lids (Acrylic 5mm - White)",4,14.41,"https://robu.in/product/online-laser-cutting-service"
"Shipping and extra fees","",2.70,""
"Total","",41.59,""
